haplotype	chr	start	end	strand	gene_id	gene_name	transcript_id	broken	pident
mat	chr1_MATERNAL	114206	115144	-	hg002_chr1_maternal_10	OR4F29	hg002_chr1_maternal_10.1	Y	56.730769230769226
mat	chr1_MATERNAL	357540	377283	+	hg002_chr1_maternal_28	SAMD11	hg002_chr1_maternal_28.2	N	NA
mat	chr1_MATERNAL	376912	392008	-	hg002_chr1_maternal_29	NOC2L	hg002_chr1_maternal_29.1	N	NA
mat	chr1_MATERNAL	393341	398397	+	hg002_chr1_maternal_30	KLHL17	hg002_chr1_maternal_30.1	N	NA
mat	chr1_MATERNAL	399160	408542	+	hg002_chr1_maternal_31	PLEKHN1	hg002_chr1_maternal_31.8	N	NA
mat	chr1_MATERNAL	407875	415648	-	hg002_chr1_maternal_32	PERM1	hg002_chr1_maternal_32.5	N	NA
mat	chr1_MATERNAL	432824	433957	-	hg002_chr1_maternal_33	HES4	hg002_chr1_maternal_33.2	N	NA
mat	chr1_MATERNAL	447332	448375	+	hg002_chr1_maternal_35	ISG15	hg002_chr1_maternal_35.1	N	NA
mat	chr1_MATERNAL	453951	489885	+	hg002_chr1_maternal_36	AGRN	hg002_chr1_maternal_36.2	N	NA
mat	chr1_MATERNAL	504726	508065	-	hg002_chr1_maternal_39	RNF223	hg002_chr1_maternal_39.1	N	NA
mat	chr1_MATERNAL	516621	550980	-	hg002_chr1_maternal_40	C1orf159	hg002_chr1_maternal_40.3	N	NA
mat	chr1_MATERNAL	608143	632199	+	hg002_chr1_maternal_49	TTLL10	hg002_chr1_maternal_49.12	N	NA
mat	chr1_MATERNAL	637847	640931	-	hg002_chr1_maternal_50	TNFRSF18	hg002_chr1_maternal_50.1	N	NA
mat	chr1_MATERNAL	645679	648492	-	hg002_chr1_maternal_51	TNFRSF4	hg002_chr1_maternal_51.4	N	NA
mat	chr1_MATERNAL	651270	666338	-	hg002_chr1_maternal_52	SDF4	hg002_chr1_maternal_52.1	N	NA
mat	chr1_MATERNAL	666574	669378	+	hg002_chr1_maternal_53	B3GALT6	hg002_chr1_maternal_53.1	N	NA
mat	chr1_MATERNAL	676833	682114	-	hg002_chr1_maternal_54	C1QTNF12	hg002_chr1_maternal_54.1	N	NA
mat	chr1_MATERNAL	689339	709285	-	hg002_chr1_maternal_55	UBE2J2	hg002_chr1_maternal_55.7	N	NA
mat	chr1_MATERNAL	715867	726549	+	hg002_chr1_maternal_56	SCNN1D	hg002_chr1_maternal_56.1	N	NA
mat	chr1_MATERNAL	726915	742458	-	hg002_chr1_maternal_57	ACAP3	hg002_chr1_maternal_57.4	N	NA
mat	chr1_MATERNAL	743124	746204	+	hg002_chr1_maternal_60	PUSL1	hg002_chr1_maternal_60.5	N	NA
mat	chr1_MATERNAL	746127	759263	-	hg002_chr1_maternal_61	INTS11	hg002_chr1_maternal_61.6	N	NA
mat	chr1_MATERNAL	759405	763499	+	hg002_chr1_maternal_63	CPTP	hg002_chr1_maternal_63.1	N	NA
mat	chr1_MATERNAL	765883	769917	+	hg002_chr1_maternal_64	TAS1R3	hg002_chr1_maternal_64.1	N	NA
mat	chr1_MATERNAL	769881	784062	-	hg002_chr1_maternal_65	DVL1	hg002_chr1_maternal_65.2	N	NA
mat	chr1_MATERNAL	786253	797115	-	hg002_chr1_maternal_67	MXRA8	hg002_chr1_maternal_67.3	N	NA
mat	chr1_MATERNAL	807301	808772	-	hg002_chr1_maternal_68	AURKAIP1	hg002_chr1_maternal_68.3	N	NA
mat	chr1_MATERNAL	820661	834282	-	hg002_chr1_maternal_70	CCNL2	hg002_chr1_maternal_70.4	N	NA
mat	chr1_MATERNAL	836856	842240	-	hg002_chr1_maternal_72	MRPL20	hg002_chr1_maternal_72.2	N	NA
mat	chr1_MATERNAL	853367	856223	-	hg002_chr1_maternal_75	ANKRD65	hg002_chr1_maternal_75.1	N	NA
mat	chr1_MATERNAL	860818	866308	+	hg002_chr1_maternal_77	TMEM88B	hg002_chr1_maternal_77.1	Y	NA
mat	chr1_MATERNAL	871743	878935	+	hg002_chr1_maternal_80	VWA1	hg002_chr1_maternal_80.1	N	NA
mat	chr1_MATERNAL	885754	906226	+	hg002_chr1_maternal_81	ATAD3C	hg002_chr1_maternal_81.1	N	NA
mat	chr1_MATERNAL	907828	945662	+	hg002_chr1_maternal_82	ATAD3B	hg002_chr1_maternal_82.6	N	NA
mat	chr1_MATERNAL	948359	970882	+	hg002_chr1_maternal_83	ATAD3A	hg002_chr1_maternal_83.3	N	NA
mat	chr1_MATERNAL	970975	976821	-	hg002_chr1_maternal_84	TMEM240	hg002_chr1_maternal_84.1	N	NA
mat	chr1_MATERNAL	977870	1011306	-	hg002_chr1_maternal_85	SSU72	hg002_chr1_maternal_85.1	N	NA
mat	chr1_MATERNAL	1034497	1036620	-	hg002_chr1_maternal_86	FNDC10	hg002_chr1_maternal_86.1	N	NA
mat	chr1_MATERNAL	1050165	1067030	+	hg002_chr1_maternal_88	MIB2	hg002_chr1_maternal_88.19	N	NA
mat	chr1_MATERNAL	1068597	1071078	+	hg002_chr1_maternal_90	MMP23B	hg002_chr1_maternal_90.1	N	NA
mat	chr1_MATERNAL	1071649	1095432	-	hg002_chr1_maternal_91	CDK11B	hg002_chr1_maternal_91.22	N	NA
mat	chr1_MATERNAL	1097906	1129050	-	hg002_chr1_maternal_92	SLC35E2B	hg002_chr1_maternal_92.2	N	NA
mat	chr1_MATERNAL	1138628	1160543	-	hg002_chr1_maternal_96	CDK11A	hg002_chr1_maternal_96.3	N	NA
mat	chr1_MATERNAL	1187464	1216716	-	hg002_chr1_maternal_100	NADK	hg002_chr1_maternal_100.5	N	NA
mat	chr1_MATERNAL	1221488	1327273	-	hg002_chr1_maternal_101	GNB1	hg002_chr1_maternal_101.16	N	NA
mat	chr1_MATERNAL	1351445	1353481	+	hg002_chr1_maternal_104	CALML6	hg002_chr1_maternal_104.2	N	NA
mat	chr1_MATERNAL	1353776	1355464	-	hg002_chr1_maternal_105	TMEM52	hg002_chr1_maternal_105.1	N	NA
mat	chr1_MATERNAL	1358142	1441332	-	hg002_chr1_maternal_106	CFAP74	hg002_chr1_maternal_106.1	N	NA
mat	chr1_MATERNAL	1457116	1468529	+	hg002_chr1_maternal_109	GABRD	hg002_chr1_maternal_109.1	N	NA
mat	chr1_MATERNAL	1486278	1623649	+	hg002_chr1_maternal_111	PRKCZ	hg002_chr1_maternal_111.8	N	NA
mat	chr1_MATERNAL	1622731	1650977	-	hg002_chr1_maternal_114	FAAP20	hg002_chr1_maternal_114.9	N	NA
mat	chr1_MATERNAL	1666575	1748011	+	hg002_chr1_maternal_118	SKI	hg002_chr1_maternal_118.1	N	NA
mat	chr1_MATERNAL	1759057	1832930	-	hg002_chr1_maternal_120	MORN1	hg002_chr1_maternal_120.1	N	NA
mat	chr1_MATERNAL	1833217	1847121	+	hg002_chr1_maternal_122	RER1	hg002_chr1_maternal_122.1	N	NA
mat	chr1_MATERNAL	1845659	1855512	-	hg002_chr1_maternal_123	PEX10	hg002_chr1_maternal_123.2	N	NA
mat	chr1_MATERNAL	1857628	1948453	+	hg002_chr1_maternal_124	PLCH2	hg002_chr1_maternal_124.11	N	NA
mat	chr1_MATERNAL	1951458	1970083	-	hg002_chr1_maternal_125	PANK4	hg002_chr1_maternal_125.2	N	NA
mat	chr1_MATERNAL	1972232	1973750	-	hg002_chr1_maternal_126	HES5	hg002_chr1_maternal_126.1	N	NA
mat	chr1_MATERNAL	1997723	2007318	+	hg002_chr1_maternal_128	TNFRSF14	hg002_chr1_maternal_128.11	N	NA
mat	chr1_MATERNAL	2030014	2034959	+	hg002_chr1_maternal_130	PRXL2B	hg002_chr1_maternal_130.4	N	NA
mat	chr1_MATERNAL	2034130	2076334	-	hg002_chr1_maternal_131	MMEL1	hg002_chr1_maternal_131.1	N	NA
mat	chr1_MATERNAL	2080304	2450464	-	hg002_chr1_maternal_133	TTC34	hg002_chr1_maternal_133.1	N	NA
mat	chr1_MATERNAL	2672729	2674165	+	hg002_chr1_maternal_144	ACTRT2	hg002_chr1_maternal_144.1	N	NA
mat	chr1_MATERNAL	2720888	3092641	+	hg002_chr1_maternal_147	PRDM16	hg002_chr1_maternal_147.1	N	NA
mat	chr1_MATERNAL	3108648	3137437	+	hg002_chr1_maternal_155	ARHGEF16	hg002_chr1_maternal_155.1	N	NA
mat	chr1_MATERNAL	3144270	3285205	-	hg002_chr1_maternal_156	MEGF6	hg002_chr1_maternal_156.11	N	NA
mat	chr1_MATERNAL	3285434	3290523	+	hg002_chr1_maternal_159	TPRG1L	hg002_chr1_maternal_159.1	N	NA
mat	chr1_MATERNAL	3291166	3309877	-	hg002_chr1_maternal_160	WRAP73	hg002_chr1_maternal_160.1	N	NA
mat	chr1_MATERNAL	3312290	3396505	+	hg002_chr1_maternal_161	TP73	hg002_chr1_maternal_161.6	N	NA
mat	chr1_MATERNAL	3412682	3431874	+	hg002_chr1_maternal_164	CCDC27	hg002_chr1_maternal_164.1	N	NA
mat	chr1_MATERNAL	3432962	3436163	+	hg002_chr1_maternal_165	SMIM1	hg002_chr1_maternal_165.2	N	NA
mat	chr1_MATERNAL	3438766	3456711	-	hg002_chr1_maternal_166	LRRC47	hg002_chr1_maternal_166.1	N	NA
mat	chr1_MATERNAL	3472359	3517602	-	hg002_chr1_maternal_168	CEP104	hg002_chr1_maternal_168.1	N	NA
mat	chr1_MATERNAL	3517867	3546147	+	hg002_chr1_maternal_170	DFFB	hg002_chr1_maternal_170.3	N	NA
mat	chr1_MATERNAL	3549851	3560738	-	hg002_chr1_maternal_171	C1orf174	hg002_chr1_maternal_171.2	N	NA
mat	chr1_MATERNAL	4320416	4458523	+	hg002_chr1_maternal_180	AJAP1	hg002_chr1_maternal_180.2	N	NA
mat	chr1_MATERNAL	5538718	5669773	-	hg002_chr1_maternal_192	NPHP4	hg002_chr1_maternal_192.23	N	NA
mat	chr1_MATERNAL	5670024	5777995	+	hg002_chr1_maternal_193	KCNAB2	hg002_chr1_maternal_193.13	N	NA
mat	chr1_MATERNAL	5778602	5856993	-	hg002_chr1_maternal_195	CHD5	hg002_chr1_maternal_195.1	N	NA
mat	chr1_MATERNAL	5861692	5876267	-	hg002_chr1_maternal_196	RPL22	hg002_chr1_maternal_196.1	N	NA
mat	chr1_MATERNAL	5882790	5897971	+	hg002_chr1_maternal_198	RNF207	hg002_chr1_maternal_198.7	N	NA
mat	chr1_MATERNAL	5897865	5912636	-	hg002_chr1_maternal_199	ICMT	hg002_chr1_maternal_199.2	N	NA
mat	chr1_MATERNAL	5920851	5922250	+	hg002_chr1_maternal_201	HES3	hg002_chr1_maternal_201.1	N	NA
mat	chr1_MATERNAL	5924025	5937769	-	hg002_chr1_maternal_202	GPR153	hg002_chr1_maternal_202.2	N	NA
mat	chr1_MATERNAL	5940943	6070433	-	hg002_chr1_maternal_203	ACOT7	hg002_chr1_maternal_203.5	N	NA
mat	chr1_MATERNAL	6091900	6096587	-	hg002_chr1_maternal_204	HES2	hg002_chr1_maternal_204.1	N	NA
mat	chr1_MATERNAL	6101444	6138044	+	hg002_chr1_maternal_205	ESPN	hg002_chr1_maternal_205.7	N	NA
mat	chr1_MATERNAL	6137460	6142847	-	hg002_chr1_maternal_207	TNFRSF25	hg002_chr1_maternal_207.1	N	NA
mat	chr1_MATERNAL	6142766	6196771	-	hg002_chr1_maternal_208	PLEKHG5	hg002_chr1_maternal_208.5	N	NA
mat	chr1_MATERNAL	6198021	6231188	-	hg002_chr1_maternal_209	NOL9	hg002_chr1_maternal_209.5	N	NA
mat	chr1_MATERNAL	6231982	6256423	+	hg002_chr1_maternal_211	TAS1R1	hg002_chr1_maternal_211.1	N	NA
mat	chr1_MATERNAL	6256662	6265938	+	hg002_chr1_maternal_213	ZBTB48	hg002_chr1_maternal_213.5	N	NA
mat	chr1_MATERNAL	6267382	6279526	-	hg002_chr1_maternal_214	KLHL21	hg002_chr1_maternal_214.2	N	NA
mat	chr1_MATERNAL	6290381	6300684	+	hg002_chr1_maternal_216	PHF13	hg002_chr1_maternal_216.1	N	NA
mat	chr1_MATERNAL	6301522	6312243	+	hg002_chr1_maternal_217	THAP3	hg002_chr1_maternal_217.2	N	NA
mat	chr1_MATERNAL	6310818	6378443	-	hg002_chr1_maternal_218	DNAJC11	hg002_chr1_maternal_218.2	N	NA
mat	chr1_MATERNAL	6463902	7451196	+	hg002_chr1_maternal_222	CAMTA1	hg002_chr1_maternal_222.21	N	NA
mat	chr1_MATERNAL	7452786	7462922	+	hg002_chr1_maternal_231	VAMP3	hg002_chr1_maternal_231.1	N	NA
mat	chr1_MATERNAL	7465781	7526668	+	hg002_chr1_maternal_232	PER3	hg002_chr1_maternal_232.26	N	NA
mat	chr1_MATERNAL	7529103	7594891	-	hg002_chr1_maternal_234	UTS2	hg002_chr1_maternal_234.1	N	NA
mat	chr1_MATERNAL	7597513	7622476	-	hg002_chr1_maternal_235	TNFRSF9	hg002_chr1_maternal_235.1	N	NA
mat	chr1_MATERNAL	7643460	7667247	+	hg002_chr1_maternal_237	PARK7	hg002_chr1_maternal_237.2	N	NA
mat	chr1_MATERNAL	7693471	7708053	-	hg002_chr1_maternal_239	ERRFI1	hg002_chr1_maternal_239.4	N	NA
mat	chr1_MATERNAL	8000689	8027604	+	hg002_chr1_maternal_249	SLC45A1	hg002_chr1_maternal_249.1	N	NA
mat	chr1_MATERNAL	8036187	8502612	-	hg002_chr1_maternal_250	RERE	hg002_chr1_maternal_250.2	N	NA
mat	chr1_MATERNAL	8545979	8563668	-	hg002_chr1_maternal_258	ENO1	hg002_chr1_maternal_258.3	N	NA
mat	chr1_MATERNAL	8631236	8660453	+	hg002_chr1_maternal_264	CA6	hg002_chr1_maternal_264.4	N	NA
mat	chr1_MATERNAL	8677893	8711756	-	hg002_chr1_maternal_266	SLC2A7	hg002_chr1_maternal_266.2	N	NA
mat	chr1_MATERNAL	8720439	8779705	-	hg002_chr1_maternal_267	SLC2A5	hg002_chr1_maternal_267.4	N	NA
mat	chr1_MATERNAL	8785815	8814832	-	hg002_chr1_maternal_269	GPR157	hg002_chr1_maternal_269.1	N	NA
mat	chr1_MATERNAL	8920914	8957467	+	hg002_chr1_maternal_273	H6PD	hg002_chr1_maternal_273.1	N	NA
mat	chr1_MATERNAL	8979286	9055845	+	hg002_chr1_maternal_275	SPSB1	hg002_chr1_maternal_275.1	N	NA
mat	chr1_MATERNAL	9227202	9272911	+	hg002_chr1_maternal_278	SLC25A33	hg002_chr1_maternal_278.1	N	NA
mat	chr1_MATERNAL	9276653	9302574	+	hg002_chr1_maternal_280	TMEM201	hg002_chr1_maternal_280.4	N	NA
mat	chr1_MATERNAL	9321435	9423282	+	hg002_chr1_maternal_282	PIK3CD	hg002_chr1_maternal_282.21	N	NA
mat	chr1_MATERNAL	9423094	9518859	-	hg002_chr1_maternal_288	CLSTN1	hg002_chr1_maternal_288.1	N	NA
mat	chr1_MATERNAL	9542611	9604601	-	hg002_chr1_maternal_290	CTNNBIP1	hg002_chr1_maternal_290.4	N	NA
mat	chr1_MATERNAL	9616448	9637709	-	hg002_chr1_maternal_293	LZIC	hg002_chr1_maternal_293.6	N	NA
mat	chr1_MATERNAL	9637241	9691352	+	hg002_chr1_maternal_294	NMNAT1	hg002_chr1_maternal_294.5	N	NA
mat	chr1_MATERNAL	9691688	9710487	+	hg002_chr1_maternal_299	RBP7	hg002_chr1_maternal_299.1	N	NA
mat	chr1_MATERNAL	9727425	9875704	+	hg002_chr1_maternal_300	UBE4B	hg002_chr1_maternal_300.3	N	NA
mat	chr1_MATERNAL	9905468	10076495	+	hg002_chr1_maternal_304	KIF1B	hg002_chr1_maternal_304.2	N	NA
mat	chr1_MATERNAL	10093956	10115402	+	hg002_chr1_maternal_307	PGD	hg002_chr1_maternal_307.3	N	NA
mat	chr1_MATERNAL	10125324	10137697	+	hg002_chr1_maternal_308	CENPS	hg002_chr1_maternal_308.1	N	NA
mat	chr1_MATERNAL	10144924	10146890	+	hg002_chr1_maternal_310	CORT	hg002_chr1_maternal_310.1	N	NA
mat	chr1_MATERNAL	10151416	10167413	-	hg002_chr1_maternal_311	DFFA	hg002_chr1_maternal_311.1	N	NA
mat	chr1_MATERNAL	10169834	10325637	+	hg002_chr1_maternal_312	PEX14	hg002_chr1_maternal_312.1	N	NA
mat	chr1_MATERNAL	10331483	10491353	-	hg002_chr1_maternal_314	CASZ1	hg002_chr1_maternal_314.3	N	NA
mat	chr1_MATERNAL	10641252	10678753	-	hg002_chr1_maternal_318	C1orf127	hg002_chr1_maternal_318.6	N	NA
mat	chr1_MATERNAL	10709338	10727213	+	hg002_chr1_maternal_320	TARDBP	hg002_chr1_maternal_320.1	N	NA
mat	chr1_MATERNAL	10723207	10744182	-	hg002_chr1_maternal_321	MASP2	hg002_chr1_maternal_321.1	N	NA
mat	chr1_MATERNAL	10751530	10756959	-	hg002_chr1_maternal_322	SRM	hg002_chr1_maternal_322.1	N	NA
mat	chr1_MATERNAL	10763546	10796822	-	hg002_chr1_maternal_323	EXOSC10	hg002_chr1_maternal_323.3	N	NA
mat	chr1_MATERNAL	10803487	10959514	-	hg002_chr1_maternal_325	MTOR	hg002_chr1_maternal_325.5	N	NA
mat	chr1_MATERNAL	10886329	10892953	+	hg002_chr1_maternal_329	ANGPTL7	hg002_chr1_maternal_329.3	N	NA
mat	chr1_MATERNAL	10970175	10996553	+	hg002_chr1_maternal_332	UBIAD1	hg002_chr1_maternal_332.1	N	NA
mat	chr1_MATERNAL	11177385	11237011	+	hg002_chr1_maternal_339	DISP3	hg002_chr1_maternal_339.8	N	NA
mat	chr1_MATERNAL	11347544	11353589	-	hg002_chr1_maternal_342	FBXO2	hg002_chr1_maternal_342.1	N	NA
mat	chr1_MATERNAL	11353567	11362490	+	hg002_chr1_maternal_343	FBXO44	hg002_chr1_maternal_343.13	N	NA
mat	chr1_MATERNAL	11363363	11373536	+	hg002_chr1_maternal_344	FBXO6	hg002_chr1_maternal_344.1	N	NA
mat	chr1_MATERNAL	11373662	11390999	-	hg002_chr1_maternal_345	MAD2L2	hg002_chr1_maternal_345.1	N	NA
mat	chr1_MATERNAL	11385805	11425039	+	hg002_chr1_maternal_346	DRAXIN	hg002_chr1_maternal_346.2	N	NA
mat	chr1_MATERNAL	11435326	11449951	+	hg002_chr1_maternal_347	AGTRAP	hg002_chr1_maternal_347.5	N	NA
mat	chr1_MATERNAL	11461379	11488798	+	hg002_chr1_maternal_349	C1orf167	hg002_chr1_maternal_349.1	N	NA
mat	chr1_MATERNAL	11484930	11505146	-	hg002_chr1_maternal_351	MTHFR	hg002_chr1_maternal_351.7	N	NA
mat	chr1_MATERNAL	11505373	11542314	+	hg002_chr1_maternal_352	CLCN6	hg002_chr1_maternal_352.2	N	NA
mat	chr1_MATERNAL	11544898	11546969	-	hg002_chr1_maternal_354	NPPA	hg002_chr1_maternal_354.1	N	NA
mat	chr1_MATERNAL	11556698	11558180	-	hg002_chr1_maternal_355	NPPB	hg002_chr1_maternal_355.1	N	NA
mat	chr1_MATERNAL	11618876	11625714	-	hg002_chr1_maternal_360	KIAA2013	hg002_chr1_maternal_360.1	N	NA
mat	chr1_MATERNAL	11634006	11674824	+	hg002_chr1_maternal_361	PLOD1	hg002_chr1_maternal_361.1	N	NA
mat	chr1_MATERNAL	11679731	11712795	+	hg002_chr1_maternal_362	MFN2	hg002_chr1_maternal_362.2	N	NA
mat	chr1_MATERNAL	11718772	11731317	+	hg002_chr1_maternal_363	MIIP	hg002_chr1_maternal_363.1	N	NA
mat	chr1_MATERNAL	11762585	11843499	+	hg002_chr1_maternal_366	TNFRSF8	hg002_chr1_maternal_366.1	N	NA
mat	chr1_MATERNAL	11866266	11908510	+	hg002_chr1_maternal_370	TNFRSF1B	hg002_chr1_maternal_370.1	N	NA
mat	chr1_MATERNAL	11929320	12211351	+	hg002_chr1_maternal_374	VPS13D	hg002_chr1_maternal_374.1	N	NA
mat	chr1_MATERNAL	12267933	12318252	-	hg002_chr1_maternal_379	DHRS3	hg002_chr1_maternal_379.5	N	NA
mat	chr1_MATERNAL	12344125	12367120	+	hg002_chr1_maternal_382	AADACL4	hg002_chr1_maternal_382.1	N	NA
mat	chr1_MATERNAL	12416157	12428807	+	hg002_chr1_maternal_384	AADACL3	hg002_chr1_maternal_384.1	N	NA
mat	chr1_MATERNAL	12446248	12463747	+	hg002_chr1_maternal_386	CFAP107	hg002_chr1_maternal_386.2	N	NA
mat	chr1_MATERNAL	12473786	12477954	+	hg002_chr1_maternal_387	PRAMEF12	hg002_chr1_maternal_387.1	N	NA
mat	chr1_MATERNAL	12491429	12496660	+	hg002_chr1_maternal_388	PRAMEF1	hg002_chr1_maternal_388.1	N	NA
mat	chr1_MATERNAL	12524617	12531421	-	hg002_chr1_maternal_390	PRAMEF11	hg002_chr1_maternal_390.1	N	NA
mat	chr1_MATERNAL	12547388	12548731	-	hg002_chr1_maternal_392	HNRNPCL1	hg002_chr1_maternal_392.1	N	NA
mat	chr1_MATERNAL	12557097	12561920	+	hg002_chr1_maternal_393	PRAMEF2	hg002_chr1_maternal_393.1	N	NA
mat	chr1_MATERNAL	12579195	12586184	-	hg002_chr1_maternal_395	PRAMEF4	hg002_chr1_maternal_395.1	N	NA
