gene_id	gene_name	transcript_id	broken	pident
hg002_chr1_paternal_10	OR4F29	hg002_chr1_paternal_10.1	Y	56.730769230769226
hg002_chr1_paternal_29	SAMD11	hg002_chr1_paternal_29.2	N	NA
hg002_chr1_paternal_30	NOC2L	hg002_chr1_paternal_30.1	N	NA
hg002_chr1_paternal_31	KLHL17	hg002_chr1_paternal_31.1	N	NA
hg002_chr1_paternal_32	PLEKHN1	hg002_chr1_paternal_32.8	N	NA
hg002_chr1_paternal_33	PERM1	hg002_chr1_paternal_33.5	N	NA
hg002_chr1_paternal_34	HES4	hg002_chr1_paternal_34.2	N	NA
hg002_chr1_paternal_36	ISG15	hg002_chr1_paternal_36.1	N	NA
hg002_chr1_paternal_37	AGRN	hg002_chr1_paternal_37.2	N	NA
hg002_chr1_paternal_40	RNF223	hg002_chr1_paternal_40.1	N	NA
hg002_chr1_paternal_41	C1orf159	hg002_chr1_paternal_41.3	N	NA
hg002_chr1_paternal_50	TTLL10	hg002_chr1_paternal_50.12	N	NA
hg002_chr1_paternal_51	TNFRSF18	hg002_chr1_paternal_51.1	N	NA
hg002_chr1_paternal_52	TNFRSF4	hg002_chr1_paternal_52.4	N	NA
hg002_chr1_paternal_53	SDF4	hg002_chr1_paternal_53.1	N	NA
hg002_chr1_paternal_54	B3GALT6	hg002_chr1_paternal_54.1	N	NA
hg002_chr1_paternal_55	C1QTNF12	hg002_chr1_paternal_55.1	N	NA
hg002_chr1_paternal_56	UBE2J2	hg002_chr1_paternal_56.7	N	NA
hg002_chr1_paternal_57	SCNN1D	hg002_chr1_paternal_57.1	N	NA
hg002_chr1_paternal_58	ACAP3	hg002_chr1_paternal_58.4	N	NA
hg002_chr1_paternal_61	PUSL1	hg002_chr1_paternal_61.5	N	NA
hg002_chr1_paternal_62	INTS11	hg002_chr1_paternal_62.6	N	NA
hg002_chr1_paternal_64	CPTP	hg002_chr1_paternal_64.1	N	NA
hg002_chr1_paternal_65	TAS1R3	hg002_chr1_paternal_65.1	N	NA
hg002_chr1_paternal_66	DVL1	hg002_chr1_paternal_66.2	N	NA
hg002_chr1_paternal_68	MXRA8	hg002_chr1_paternal_68.3	N	NA
hg002_chr1_paternal_69	AURKAIP1	hg002_chr1_paternal_69.3	N	NA
hg002_chr1_paternal_71	CCNL2	hg002_chr1_paternal_71.4	N	NA
hg002_chr1_paternal_73	MRPL20	hg002_chr1_paternal_73.2	N	NA
hg002_chr1_paternal_76	ANKRD65	hg002_chr1_paternal_76.1	N	NA
hg002_chr1_paternal_78	TMEM88B	hg002_chr1_paternal_78.1	N	NA
hg002_chr1_paternal_81	VWA1	hg002_chr1_paternal_81.1	N	NA
hg002_chr1_paternal_82	ATAD3C	hg002_chr1_paternal_82.1	N	NA
hg002_chr1_paternal_83	ATAD3B	hg002_chr1_paternal_83.6	N	NA
hg002_chr1_paternal_84	ATAD3A	hg002_chr1_paternal_84.3	N	NA
hg002_chr1_paternal_85	TMEM240	hg002_chr1_paternal_85.1	N	NA
hg002_chr1_paternal_86	SSU72	hg002_chr1_paternal_86.1	N	NA
hg002_chr1_paternal_87	FNDC10	hg002_chr1_paternal_87.1	N	NA
hg002_chr1_paternal_89	MIB2	hg002_chr1_paternal_89.19	N	NA
hg002_chr1_paternal_91	MMP23B	hg002_chr1_paternal_91.1	N	NA
hg002_chr1_paternal_92	CDK11B	hg002_chr1_paternal_92.22	N	NA
hg002_chr1_paternal_93	SLC35E2B	hg002_chr1_paternal_93.2	N	NA
hg002_chr1_paternal_97	CDK11A	hg002_chr1_paternal_97.3	N	NA
hg002_chr1_paternal_101	NADK	hg002_chr1_paternal_101.5	N	NA
hg002_chr1_paternal_102	GNB1	hg002_chr1_paternal_102.16	N	NA
hg002_chr1_paternal_105	CALML6	hg002_chr1_paternal_105.2	N	NA
hg002_chr1_paternal_106	TMEM52	hg002_chr1_paternal_106.1	N	NA
hg002_chr1_paternal_107	CFAP74	hg002_chr1_paternal_107.1	N	NA
hg002_chr1_paternal_110	GABRD	hg002_chr1_paternal_110.1	N	NA
hg002_chr1_paternal_112	PRKCZ	hg002_chr1_paternal_112.8	N	NA
hg002_chr1_paternal_115	FAAP20	hg002_chr1_paternal_115.9	N	NA
hg002_chr1_paternal_119	SKI	hg002_chr1_paternal_119.1	N	NA
hg002_chr1_paternal_121	MORN1	hg002_chr1_paternal_121.1	N	NA
hg002_chr1_paternal_123	RER1	hg002_chr1_paternal_123.1	N	NA
hg002_chr1_paternal_124	PEX10	hg002_chr1_paternal_124.2	N	NA
hg002_chr1_paternal_125	PLCH2	hg002_chr1_paternal_125.11	N	NA
hg002_chr1_paternal_126	PANK4	hg002_chr1_paternal_126.2	N	NA
hg002_chr1_paternal_127	HES5	hg002_chr1_paternal_127.1	N	NA
hg002_chr1_paternal_129	TNFRSF14	hg002_chr1_paternal_129.11	N	NA
hg002_chr1_paternal_131	PRXL2B	hg002_chr1_paternal_131.4	N	NA
hg002_chr1_paternal_132	MMEL1	hg002_chr1_paternal_132.1	N	NA
hg002_chr1_paternal_134	TTC34	hg002_chr1_paternal_134.1	N	NA
hg002_chr1_paternal_143	ACTRT2	hg002_chr1_paternal_143.1	N	NA
hg002_chr1_paternal_146	PRDM16	hg002_chr1_paternal_146.1	N	NA
hg002_chr1_paternal_154	ARHGEF16	hg002_chr1_paternal_154.1	N	NA
hg002_chr1_paternal_155	MEGF6	hg002_chr1_paternal_155.11	N	NA
hg002_chr1_paternal_158	TPRG1L	hg002_chr1_paternal_158.1	N	NA
hg002_chr1_paternal_159	WRAP73	hg002_chr1_paternal_159.1	N	NA
hg002_chr1_paternal_160	TP73	hg002_chr1_paternal_160.6	N	NA
hg002_chr1_paternal_163	CCDC27	hg002_chr1_paternal_163.1	N	NA
hg002_chr1_paternal_164	SMIM1	hg002_chr1_paternal_164.2	N	NA
hg002_chr1_paternal_165	LRRC47	hg002_chr1_paternal_165.1	N	NA
hg002_chr1_paternal_167	CEP104	hg002_chr1_paternal_167.1	N	NA
hg002_chr1_paternal_169	DFFB	hg002_chr1_paternal_169.3	N	NA
hg002_chr1_paternal_170	C1orf174	hg002_chr1_paternal_170.2	N	NA
hg002_chr1_paternal_179	AJAP1	hg002_chr1_paternal_179.2	N	NA
hg002_chr1_paternal_191	NPHP4	hg002_chr1_paternal_191.23	N	NA
hg002_chr1_paternal_192	KCNAB2	hg002_chr1_paternal_192.13	N	NA
hg002_chr1_paternal_194	CHD5	hg002_chr1_paternal_194.1	N	NA
hg002_chr1_paternal_195	RPL22	hg002_chr1_paternal_195.1	N	NA
hg002_chr1_paternal_197	RNF207	hg002_chr1_paternal_197.7	N	NA
