gene_name	close_match_gene_ids	max_pident
CFHR1	None	NA
CBWD5	hg002_chr9_paternal_709,hg002_chr9_paternal_13,hg002_chr9_paternal_992,hg002_chr2_paternal_2117	100.0
CFHR3	None	NA
GOLGA6L4	hg002_chr15_paternal_1602	98.611
LRRC37A2	hg002_chr17_paternal_1724,hg002_chr17_paternal_2206	100.0
FAM72C	hg002_chr1_paternal_2844,hg002_chr1_paternal_4674,hg002_chr1_paternal_2933	100.0
H3-7	hg002_chr6_paternal_509,hg002_chr6_paternal_514,hg002_chr6_paternal_688,hg002_chr1_paternal_3132,hg002_chr1_paternal_5145,hg002_chr6_paternal_487,hg002_chr6_paternal_698,hg002_chr1_paternal_3134,hg002_chr1_paternal_5060,hg002_chr17_paternal_2436,hg002_chr6_paternal_501,hg002_chr6_paternal_517,hg002_chr6_paternal_480,hg002_chr6_paternal_701,hg002_chr1_paternal_3140,hg002_chr6_paternal_483,hg002_chr12_paternal_739	97.059
GSTT1	None	NA
OR4C11	None	NA
LOC124903130	None	NA
LOC124900189	None	NA
KRTAP9-6	None	NA
LOC127898562	None	NA
POTEB	hg002_chr18_paternal_293,hg002_chr15_paternal_134	93.73
SPDYE14	hg002_chr7_paternal_1541,hg002_chr7_paternal_1472,hg002_chr7_paternal_1525,hg002_chr7_paternal_1539,hg002_chr7_paternal_1591,hg002_chr7_paternal_1535,hg002_chr7_paternal_1470,hg002_chr7_paternal_1537	100.0
GOLGA8N	hg002_chr15_paternal_376,hg002_chr15_paternal_428,hg002_chr15_paternal_478	98.259
LCE3C	None	NA
SPATA31A7	hg002_chr9_paternal_761,hg002_chr9_paternal_922,hg002_chr9_paternal_668	98.961
OR4S2	None	NA
OR4P4	None	NA
GOLGA8T	hg002_chr15_paternal_398,hg002_chr15_paternal_405,hg002_chr15_paternal_435,hg002_chr15_paternal_471,hg002_chr15_paternal_376,hg002_chr15_paternal_478	99.525
ALG1L2	None	NA
LCE3B	None	NA
LOC102724052	None	NA
