gene_name	num_ref	chroms_ref	num_m	chroms_m	pat	num_p
ASAP3	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
SCAF11	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
LMNTD2	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
NEK6	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
RTRAF	1	chr14	1	chr14_MATERNAL	1	chr14_PATERNAL
ZXDC	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
CENPU	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
EMP1	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
TMED6	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
UFD1	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
SHLD2	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
INTS11	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
GP9	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
CRLF2	2	chrX,chrY	1	chrX_MATERNAL	1	chrY_PATERNAL
TMED7-TICAM2	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
ACOT12	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
TRAF6	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
UCK1	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
FRRS1L	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
MIEF1	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
LOC107984449	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
KAT6B	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
LOC124900986	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
RAD23A	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
GKAP1	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
HIRA	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
IBSP	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
PCMTD1	1	chr8	1	chr8_MATERNAL	1	chr8_PATERNAL
IL3	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
TMEM150A	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
GOLGA6L22	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
RHBDL2	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
LILRA2	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
SDE2	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
FABP7	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
KRCC1	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
PPIAL4C	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
YPEL4	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
COL1A1	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
GBA2	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
RPS24	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
ACAT1	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
DLST	1	chr14	1	chr14_MATERNAL	1	chr14_PATERNAL
ZMPSTE24	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
WWC3	1	chrX	1	chrX_MATERNAL	0	None
C1orf127	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
HOOK1	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
SMARCC2	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
OR5AU1	1	chr14	1	chr14_MATERNAL	1	chr14_PATERNAL
DNASE1L3	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
NPAS2	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
BAG5	1	chr14	1	chr14_MATERNAL	1	chr14_PATERNAL
BPTF	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
TRAPPC5	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
TOGARAM1	1	chr14	1	chr14_MATERNAL	1	chr14_PATERNAL
NDST1	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
HRH1	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
ST3GAL6	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
NOX3	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
ESX1	1	chrX	1	chrX_MATERNAL	0	None
WDR76	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
LOXHD1	1	chr18	1	chr18_MATERNAL	1	chr18_PATERNAL
PDHA1	1	chrX	1	chrX_MATERNAL	0	None
NKAIN2	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
SPATC1L	1	chr21	1	chr21_MATERNAL	1	chr21_PATERNAL
MAGI3	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
ZNRD2	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
DPH6	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
WIPF2	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
ZNF732	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
MED16	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
SLC2A4RG	1	chr20	1	chr20_MATERNAL	1	chr20_PATERNAL
ADRA2A	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
NDN	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
TFDP1	1	chr13	1	chr13_MATERNAL	1	chr13_PATERNAL
BAZ1B	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
ZSCAN32	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
DDN	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
TET3	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
LYSMD4	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
SLC7A1	1	chr13	1	chr13_MATERNAL	1	chr13_PATERNAL
DAPP1	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
HMGN2	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
PIWIL3	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
UGT2B7	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
CCDC113	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
CCDC169	1	chr13	1	chr13_MATERNAL	1	chr13_PATERNAL
DEFB113	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
H2AP	1	chrX	1	chrX_MATERNAL	0	None
THOC2	1	chrX	1	chrX_MATERNAL	0	None
NPIPB13	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
RIMS1	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
ELFN2	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
CDK19	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
SH3GL1	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
BCLAF3	1	chrX	1	chrX_MATERNAL	0	None
CDH11	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
ITGAM	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
RNF214	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
RAB11FIP1	1	chr8	1	chr8_MATERNAL	1	chr8_PATERNAL
NMRK2	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
CFAP126	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
ANKRD37	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
MOCS1	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
PCDHGA4	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
CAMK2N2	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
INKA1	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
CXorf65	1	chrX	1	chrX_MATERNAL	0	None
LLPH	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
OR52B2	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
AKAP12	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
TPST2	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
C8orf48	1	chr8	1	chr8_MATERNAL	1	chr8_PATERNAL
ARMC9	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
H3C8	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
ANKRD40	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
