id_1,id_2
NM_001371720.1,NM_001371720.2
NM_001287349.3,NM_001287349.3
NM_020469.3,NM_020469.3
NM_001304717.5,NM_001304717.5
NM_002457.4,NM_002457.5
NM_001164280.2,NM_001164280.2
NM_001164277.2,NM_001164277.2
NM_001164278.2,NM_001164278.2
NM_001164279.2,NM_001164279.2
NM_001467.6,NM_001467.6
NM_173600.2,NM_173600.2
NM_032790.3,NM_032790.4
NM_178167.4,NM_178167.5
NM_130464.3,NM_130464.3
NM_001278425.2,NM_001278425.3
NM_000937.5,NM_000937.5
NM_001401501.1,NM_001401501.2
NM_001348364.2,NM_001348364.2
NM_152503.7,NM_152503.8
NM_213631.3,NM_213631.3
NM_213632.3,NM_213632.3
NM_001396027.1,NM_001396027.1
NM_001372044.2,NM_001372044.2
NM_015691.5,NM_015691.5
NM_017544.5,NM_001417890.1
NM_001291281.3,NM_001291281.3
