gene_name	biotype	mat	pat
LOC124900618	lncRNA	True	True
LOC124905335	lncRNA	True	True
LOC112268260	protein_coding	True	True
LOC101928626	lncRNA	True	True
WBP1LP7	pseudogene	True	True
WBP1LP9	pseudogene	True	True
OR4F29	protein_coding	True	True
LOC107986552	lncRNA	True	True
SEPTIN14P22	pseudogene	False	True
SEPTIN14P13	pseudogene	True	True
CICP3	pseudogene	True	True
LOC100288069	lncRNA	True	True
RNU6-1199P	pseudogene	True	True
GTF2IP10	pseudogene	True	True
LINC01409	lncRNA	True	True
LOC124903817	lncRNA	True	True
FAM87B	lncRNA	True	True
LINC00115	lncRNA	True	True
LINC01128	lncRNA	True	True
LOC107984850	lncRNA	True	True
FAM41C	lncRNA	True	True
TUBB8P11	pseudogene	True	True
LOC284600	lncRNA	True	True
LINC02593	lncRNA	True	True
LOC107985728	lncRNA	True	True
SAMD11	protein_coding	True	True
NOC2L	protein_coding	True	True
KLHL17	protein_coding	True	True
PLEKHN1	protein_coding	True	True
PERM1	protein_coding	True	True
HES4	protein_coding	True	True
RPL39P12	pseudogene	True	True
ISG15	protein_coding	True	True
AGRN	protein_coding	True	True
LOC100288175	lncRNA	True	True
LOC105378948	lncRNA	True	True
RNF223	protein_coding	True	True
C1orf159	protein_coding	True	True
LOC124903819	lncRNA	True	True
LOC124903820	lncRNA	True	True
LINC01342	lncRNA	True	True
LOC124903818	lncRNA	True	True
MIR200B	miRNA	True	True
MIR200A	miRNA	True	True
MIR429	miRNA	True	True
TTLL10-AS1	lncRNA	True	True
TTLL10	protein_coding	True	True
TNFRSF18	protein_coding	True	True
TNFRSF4	protein_coding	True	True
SDF4	protein_coding	True	True
B3GALT6	protein_coding	True	True
C1QTNF12	protein_coding	True	True
UBE2J2	protein_coding	True	True
SCNN1D	protein_coding	True	True
ACAP3	protein_coding	True	True
MIR6726	miRNA	True	True
SNORD167	snoRNA	True	True
PUSL1	protein_coding	True	True
INTS11	protein_coding	True	True
MIR6727	miRNA	True	True
CPTP	protein_coding	True	True
TAS1R3	protein_coding	True	True
DVL1	protein_coding	True	True
MIR6808	miRNA	True	True
MXRA8	protein_coding	True	True
AURKAIP1	protein_coding	True	True
NDUFB4P8	pseudogene	True	True
CCNL2	protein_coding	True	True
MRPL20-AS1	lncRNA	True	True
MRPL20	protein_coding	True	True
RN7SL657P	pseudogene	True	True
MRPL20-DT	lncRNA	True	True
ANKRD65	protein_coding	True	True
ANKRD65-AS1	lncRNA	True	True
TMEM88B	protein_coding	True	True
LINC01770	lncRNA	True	True
